index,timestamp,power.draw [W],utilization.gpu [%],utilization.memory [%],memory.total [MiB],memory.used [MiB],memory.free [MiB]
7,2023/10/18 17:40:52.654,61.76,0,0,81920,4,81046
0,2023/10/18 17:40:52.765,65.46,0,0,81920,4,81045
1,2023/10/18 17:40:52.785,62.51,0,0,81920,4,81046
2,2023/10/18 17:40:52.802,62.51,0,0,81920,4,81046
3,2023/10/18 17:40:52.807,60.56,0,0,81920,4,81046
4,2023/10/18 17:40:52.814,63.45,0,0,81920,4,81046
5,2023/10/18 17:40:52.820,63.37,0,0,81920,4,81046
6,2023/10/18 17:40:52.825,64.33,0,0,81920,4,81046
7,2023/10/18 17:40:52.836,61.76,0,0,81920,4,81046
0,2023/10/18 17:40:52.944,65.46,0,0,81920,5,81045
1,2023/10/18 17:40:52.951,62.85,0,0,81920,4,81046
2,2023/10/18 17:40:52.966,62.85,0,0,81920,4,81046
3,2023/10/18 17:40:52.977,60.56,0,0,81920,4,81046
4,2023/10/18 17:40:52.986,63.52,0,0,81920,4,81046
5,2023/10/18 17:40:53.010,63.37,0,0,81920,4,81046
6,2023/10/18 17:40:53.021,64.00,0,0,81920,4,81046
7,2023/10/18 17:40:53.030,62.04,0,0,81920,4,81046
0,2023/10/18 17:40:53.136,65.46,0,0,81920,5,81045
1,2023/10/18 17:40:53.147,62.24,0,0,81920,4,81046
2,2023/10/18 17:40:53.161,62.51,0,0,81920,4,81046
3,2023/10/18 17:40:53.167,60.56,0,0,81920,4,81046
4,2023/10/18 17:40:53.174,63.45,0,0,81920,4,81046
5,2023/10/18 17:40:53.185,63.37,0,0,81920,4,81046
6,2023/10/18 17:40:53.192,64.33,0,0,81920,4,81046
7,2023/10/18 17:40:53.202,61.76,0,0,81920,4,81046
0,2023/10/18 17:40:53.310,65.13,0,0,81920,7,81042
1,2023/10/18 17:40:53.326,62.51,0,0,81920,4,81046
2,2023/10/18 17:40:53.346,62.51,0,0,81920,4,81046
3,2023/10/18 17:40:53.352,60.56,0,0,81920,4,81046
4,2023/10/18 17:40:53.357,63.52,0,0,81920,4,81046
5,2023/10/18 17:40:53.369,63.37,0,0,81920,4,81046
6,2023/10/18 17:40:53.380,64.00,0,0,81920,4,81046
7,2023/10/18 17:40:53.391,61.76,0,0,81920,4,81046
0,2023/10/18 17:40:53.502,65.13,0,0,81920,7,81042
1,2023/10/18 17:40:53.510,62.51,0,0,81920,4,81045
2,2023/10/18 17:40:53.517,62.85,0,0,81920,4,81046
3,2023/10/18 17:40:53.523,60.88,0,0,81920,4,81046
